text	masks_stance	masks_argument	quarantine_stance	quarantine_argument	vaccines_stance	vaccines_argument
Из за одного заразившегося дегенерата и кучки человек , которые это скрывали, сейчас погибли десятки тысяч людей и треть планеты сидит на карантине.	-1	-1	2	1	-1	-1
[USER], я бы сама рада уйти на карантин, но это не сделают, не факт что людям оплатят как нужно и те же ип не пострадают, а ходить везде все равно будут, хоть куда, дома никто особо не сидит.	-1	-1	2	1	-1	-1
Как ребенок в детском саду, мол больше так не буду... взять бы за шкварник и посадить на карантин в одиночную камеру	-1	-1	1	1	-1	-1
[USER], объясни тогда зачем весь мир объявил карантины ?	-1	-1	1	1	-1	-1
нет не слышал про такое в С. Корее или Иране ... а там тоже карантины	-1	-1	1	1	-1	-1
"По идее, надо полноценный карантин вводить, а не непонятную ""нерабочую неделю""."	-1	-1	1	1	-1	-1
7 лет строгача за нарушения Карантина!	-1	-1	1	1	-1	-1
, все правительство это люди старшего поколения да и дума тоже , всех на карантин	-1	-1	1	1	-1	-1
Тупоголовые власти, неделю отдыха запустили, а карантин не запустили.	-1	-1	1	1	-1	-1
[USER], карантин для тех, кто вернулся из поездки 2 недели	-1	-1	1	1	-1	-1
А рекомендованый карантин прибывшие соблюдать нестанут, а вот на больничном думаю поваляться не прочь	-1	-1	2	1	-1	-1
На праздники зимой, в мае гос аппарат могут отпустить, а на карантин - нет.	-1	-1	1	1	-1	-1
[USER], не отрицаю... у нас сейчас в среднем 50-60 человек в день заболевает... это логично что будет хуже, потому что нет у людей полной изоляции и полного карантина	-1	-1	0	1	-1	-1
Теперь самое главное, чтобы вот эти люди соблюдали карантин полностью	-1	-1	2	1	-1	-1
Нех... ездить по заграницам, или слово карантин не для всех	-1	-1	1	1	-1	-1
Конечно, самое главное избавится от сволоты которая шляется вне карантина.	-1	-1	2	1	-1	-1
«Самоизоляция»...  Во Франции это называют «карантин», а сомоизолента только в России.	-1	-1	1	1	-1	-1
Всё правильно - это не каникулы, а карантин для... денег, которые чтобы не потратили и не сняли со счетов.	-1	-1	1	1	-1	-1
Надо сразу сажать всех на карантин, а не только брать у всех анализы.	-1	-1	2	1	-1	-1
[USER], молодежь вообще сейчас кайфует от каникул)) не до вашего им карантина.	-1	-1	1	1	-1	-1
"Карантин (quaranta giorni) ""сорок дней"" был придуман именно для иноземных кораблей, которые уже тогда ходили по всему миру."	-1	-1	1	1	-1	-1
Не всё так безнадёжно : соседка сказала, что на третий день карантина случайно разговорились с мужем.	-1	-1	1	1	-1	-1
[USER], в других странах отменили Налоги на время карантина.	-1	-1	1	1	-1	-1
Не скупим потому что деньги кончатся, а карантин усилится или торгашня цены заломит космические?	-1	-1	1	1	-1	-1
Ну вы знаете , что 80% болезни  продержите их на карантине 2 недели , поухаживайте за ними 2 недели , потом отпускайте домой , ну блин 2 недели прокормить их сложно что ли для  выходные на неделю , так вся Москва по регионам разъехалась и развозит заражу .	-1	-1	1	1	-1	-1
Карантин для всех, мало ли болен или не болен.	-1	-1	1	1	-1	-1
А на карантин нужно уходить как раз для того, чтобы растянуть эпидемию и наша система здравоохранения успевала справляться с вновь поступающими больными.	-1	-1	2	2	-1	-1
Я по телевизору видел, Шойгу не находился в карантине, а спокойно везде разгуливает	-1	-1	1	1	-1	-1
Правительство должно в каждом аэропорту России держать службы которые будут принимать наших граждан прибывающих с других стран, и безоговорочно  отправлять на карантин...	-1	-1	2	1	-1	-1
Интересно, совсем освободят на этот период, или потом в двойне прийдется платить и за карантин тоже??	-1	-1	1	1	-1	-1
[USER], не переносят должны депутаты еще прголосовать не спеши события а перенести хотят из за вируса и карантина	-1	-1	1	1	-1	-1
Мы ушли на каникулы а не на карантин поэтому тема не актуальна	-1	-1	1	1	-1	-1
И скучают теперь в карантине  прямо в аэропорту прибытия.	-1	-1	2	1	-1	-1
Вы выразили свое личное мнение, но многие люди поверят вашим словам и начнут пренебрегать советами, котороые дает нам правительство (карантин, гигиена).	-1	-1	1	1	-1	-1
Постоянно орут, что тех которые карантин не соблюдают сажать надо.	-1	-1	2	1	-1	-1
Зато Трамп знает как бороться с пандемией- а в России карантин	-1	-1	1	1	-1	-1
За карантин людям деньги платить придётся, а так, каникулы да и Всё.	-1	-1	1	1	-1	-1
Тем временем россияне, получившие право на неделю карантина, собираются семьями на шашлыки.	-1	-1	1	1	-1	-1
Так что держи у мажа в кулочке и проводи карантин с пользой	-1	-1	1	1	-1	-1
Понимаю быть аккуратно  Ну карантин бред  Ещё больше людей стали гулять  Вирус лечится   А старым парозматикам сказали сидеть дома Нет идут куда то  Приезжие тоже самое  3aebaли тупые  Как обезьяны  Не умеют вести себя панику разводят   Вирус лечится и все хорошо  Нужно все делать чётко и сидеть дома старым людям  Ну не нам молодым	-1	-1	2	1	-1	-1
Нужно закрыть снова всех на карантин на 90 дней.	-1	-1	1	1	-1	-1
Эта чакчак перед весенним карантином уже говорила что переносила ковид в декабре позапрошлого года	-1	-1	1	1	-1	-1
Но нужно понимать, что по возвращению нужно будет пребывать на карантине.	-1	-1	2	1	-1	-1
[USER], куда шлосбергу валить, везде карантин	-1	-1	1	1	-1	-1
Этот престарелый Му после того как побывал за границей не ушёл на карантин, а ходил по программам.	-1	-1	1	1	-1	-1
[USER],  еще после карантина год паутину убирать будут...	-1	-1	1	1	-1	-1
"Кто нибудь, кроме меня, заметил, что боты вчера серущие на Россию по любому поводу сегодня, вдруг, стали призывать к карантину, в той или иной степени оскорблять россиян, призывая сидеть дома, часто звучит ""расстреливать, бить, убивать""... Вопрос: бото-фермы в Канаде, Америке, Украине о заботились нашим здоровьем или тут что то ещё?"	-1	-1	1	1	-1	-1
[USER], вот тож, правда еслиб они сами знали, пока не продадут весь рекордный урожай прошлого года пока не сгнил карантин не отменят это факт	-1	-1	1	1	-1	-1
По этому же номеру можно обратиться для получения больничного на время карантина.	-1	-1	1	1	-1	-1
Кассиры при входе в метро предупреждают пожилых людей об опасности, рассказывают о карантине и мерах безопасности.	-1	-1	1	1	-1	-1
[USER], у нас карантин и изоляция там будет как на зоне пожизненно , надо женщинам сказать что бы не ражали , зачем издеватся над ребенком!	-1	-1	1	1	-1	-1
Я сижу на карантине, граница закрыта, если выйду то штраф 2000 евро.	-1	-1	1	1	-1	-1
Никакого карантина, взяли расписку о самоизоляции и отправили домой.	-1	-1	1	1	-1	-1
Кира, а у нас разве карантин, на сколько я знаю , у нас профилактические меры	-1	-1	1	1	-1	-1
Так будут отслеживать, вдруг человек нарушил карантин, почему нет?	-1	-1	2	1	-1	-1
Он вообще в курсе, что за нарушение карантина, уголовная ответственность предусмотрена?	-1	-1	1	1	-1	-1
А тут всех сразу на карантин - хоть никого не заразят, если у них есть заболевшие.	-1	-1	2	2	-1	-1
поэтому правилам необходимо следовать, как карантинным, так и гигиены, дабы такого как в США у нас не произошло и мы быстрее чем Китай эту вспышку погасили	-1	-1	1	2	-1	-1
вы обязаны вдолбить в голову своему отцу, чтобы сидел дома и никуда не ходил, с завтрашнего дня за несоблюдение карантина можно еще и штраф нехилый получить.	-1	-1	1	1	-1	-1
надеюсь по федеральным каналам его не покажут а то это будет не карантин а цирк!	-1	-1	1	1	-1	-1
Остается только посочувствовать итальянцам и посоветовать не нарушать карантин и не выходить из дома.	-1	-1	2	1	-1	-1
Твоя задача сейчас - соблюдать карантин и меры предосторожности, чтобы не было последствий	-1	-1	2	1	-1	-1
Научили бы в начале  своих граждан что такое карантин .пзд  мреть как в Италии побегут сразу.а пока ну ходите по шашлыкам своим	-1	-1	2	1	-1	-1
Европа закрывается на локдаун из-за рекордного роста.	-1	-1	1	1	-1	-1
Согласно указов карантин не существует, есть рекомендации.	-1	-1	1	1	-1	-1
Всех загоняют в карантин потому что рептилоиды переезжают в новую резиденцию	-1	-1	1	1	-1	-1
[USER], то есть по вашему не надо охранять людей которые находятся на карантине?	-1	-1	1	1	-1	-1
[USER], а вот тут вы со смехом на лице говорите что УЛЕТАЕЕЕЕМ, как то грустно и  не грустно что вы прилетели в РФ не пройдя карантин?	-1	-1	1	1	-1	-1
А КАРЛИК В ЖЕЛТОМ  НЕ ОБЬЯВЛЯЕТ КАРАНТИН БОЛЕЕ ТОГО ОН ВСЕХ СОЗНАТЕЛЬНО ВИДЕТ НА УБОЙ ГОЛОСОВАТЬ ЗА СВОЮ .	-1	-1	1	1	-1	-1
Просто необходимо их сразу помещать в карантин вот и все.	-1	-1	2	1	-1	-1
Насколько я помню, в Испании или Италии открыли, в итоге наехали рабочие мигранты и перезаражали всех короной, пришлось снова карантин вводить)	-1	-1	1	1	-1	-1
Охренеть, город перекрыли, на сектора разбили, ввели ЧС, дядьку на жёсткий карантин посадили.	-1	-1	2	1	-1	-1
путин когда вводил карантинные меры как в европе был плохой сейчас не вводит опять плохой вы уж определитесь вводит или нет	-1	-1	1	1	-1	-1
При этом в приоритетном порядке надо было обеспечить масками ЛПУ, сейчас делается акцент на обеспечении аптечного сегмента.	2	1	-1	-1	-1	-1
По вопросам отсутствия в аптеках медицинских масок и противовирусных препаратов звоните на бесплатную горячую линию Росздравнадзора 8 (800) 550-99-03.	1	1	-1	-1	-1	-1
Многоразовые маски из марли можно стирать, дезинфицировать паром, кипятить.	1	1	-1	-1	-1	-1
Маски планируется реализовать в тех районах, где в аптечной сети масок нет вообще, а затем охват территорий будет расширяться.	1	1	-1	-1	-1	-1
Еще есть сайт и мобильное приложение lekvapteke, в котором можно уточнить информацию по наличию масок и других препаратов в вашем населенном пункте.	1	1	-1	-1	-1	-1
Ситуация с поставками масок находится сейчас на контроле.	1	1	-1	-1	-1	-1
Маски в регион завозят (на прошлой неделе поступило около 400 тысяч), но их быстро раскупают.	1	1	-1	-1	-1	-1
Не заболел - молодец, заболел и не носил маску - лечение за свой счет.	0	1	-1	-1	-1	-1
Давно должны раздавать бесплатно маску при входе в метро каждому если так сильно хотят бороться с вирусом	2	1	-1	-1	-1	-1
Т.е. нарушать Федеральный закон без полицейских метрополитен может, запретив самооборону по факту, а с масками никак?	1	1	-1	-1	-1	-1
Потому что маской и докторами пытаются прикрыть рухнувшие экономики.	1	1	-1	-1	-1	-1
Советы выбросить при отсутствии масок в аптеках выглядят очень странно.	1	1	-1	-1	-1	-1
Обычные медицинские маски - нет, но они все равно уменьшают возможность заражения.	1	1	-1	-1	-1	-1
Детям они вообще вредны из за еще несформировавшейся дыхательной системы ( до 3 ... 4 лет точно) это, чтоб Вы знали, увеличивает риск асфексии , а также людям с астмой и  людям с хронической абструктивной болезнью   что кто думает о себе и о своих детях врятли будут с пеной изо рта орать , что маска от короны спасает	0	0	-1	-1	-1	-1
Кроме того учтите, что вирус проникает в организм через слизистые (глаза), вы и на них предлагаете маску надеть?	1	2	-1	-1	-1	-1
[USER], занимайтесь чем хотите маски толковы при правильном использовании, я об этом написала, вы же внимательно читали?	1	1	-1	-1	-1	-1
сам градоначальник вещал на широкие экраны, что маска не спасёт, но по чьей-то указке пишет Распоряжения/Постановления))	0	1	-1	-1	-1	-1
На мой взгляд маска пропускает 96-98% частиц из легких больного и эффективность в 3-4% сложно считать значимой.	2	1	-1	-1	-1	-1
если пациент болен то врач идет без маски ?	1	1	-1	-1	-1	-1
Биологи прямо говорят про вред масок и индуцированный психоз.	1	1	-1	-1	-1	-1
Маски и изоляция для здоровых людей - крайне опасны.	0	1	-1	-1	-1	-1
Если что-то слетает с маски, то быстро гибнет.	1	1	-1	-1	-1	-1
[USER], маски практически никто НЕ МЕНЯЕТ каждые 2 часа или ранее при намокании.	1	1	-1	-1	-1	-1
[USER], самое страшное будет, если придя домой Вы увидите и кота, и собаку в медицинских масках	1	1	-1	-1	-1	-1
Маска россиян не останавливает, с прискорбием делаю вывд, что надо бендера металлическим колпаком на время пандемии накрывать...	1	1	-1	-1	-1	-1
Маску нацепили побольше, будто он в химически-загрязненном помещении и погнали))	1	1	-1	-1	-1	-1
Главный санитарный врач никогда в жизни не подпишет бумажку, где написано, что гигиеническая маска защищает органы дыхания от разных вирусов.	1	2	-1	-1	-1	-1
толпы народа мимо себя каждый день пропускают и иронично так смотрят на тебя, если ты в маске)) хочется сказать - веселишься?	1	1	-1	-1	-1	-1
Маска как намордник одет а нос снаружи.	1	1	-1	-1	-1	-1
прямо в моск. видать маску не носил.	1	1	-1	-1	-1	-1
А что делает на улице девушка без маски, подставляет микрофон всем подряд, потом к своему лицу подносит.	1	1	-1	-1	-1	-1
То есть выпускавшиеся десятилетия, если не столетия маски -цирк?	1	1	-1	-1	-1	-1
У нас масок нет в аптеках, а парацетамола не будет до нового года!	1	1	-1	-1	-1	-1
Про маски уж столько написано - надо только не лениться - и прочитать/просмотреть.	1	1	-1	-1	-1	-1
Чего стоит повышение цен свыше 300% на маски и антисептики на фоне смертей от вируса	1	1	-1	-1	-1	-1
а Вы попробуйте чихнуть\плюнуть в маске и разница будет понятна.	1	1	-1	-1	-1	-1
Маска обеспечивает защиту уровня P1, а от этой заразы необходим уровень P3 плюс защита слизистых, и глаз в том числе.	2	2	-1	-1	-1	-1
Так много возмущений, что смотрят кто не носит маски, так почему кому-то есть дело до тех кто их носит?	1	1	-1	-1	-1	-1
[USER], я не увидела в комментарии девушки, что люди в масках заставляли ее надевать) а не право выбора.	1	1	-1	-1	-1	-1
[USER], а я опять говорю, маска не спасёт даже если она на лице больного человека и рядом человек здоровый и тоже в маске.	1	2	-1	-1	-1	-1
[USER], то есть без маски, виноват сам, а те кто заболел нося эту треклятую маску, с ними как???	1	1	-1	-1	-1	-1
В правилах страхования ничего не сказано про отказ от лечения пациента без маски)))	1	1	-1	-1	-1	-1
[USER], будьте добры статью административного правонарушения «нахождение в общественном месте без маски»??	1	1	-1	-1	-1	-1
[USER], звездюли бесплатные кто маски не носит, в индии раздают	1	1	-1	-1	-1	-1
[USER], Вы нижний абзац то прочитайте, касательно масок.	2	1	-1	-1	-1	-1
А то он, бедный, не знал про дефицит масок и антисептиков.	1	1	-1	-1	-1	-1
[USER], увеличивается частота прикосновений к лицу из-за маски.	1	1	-1	-1	-1	-1
[USER], да зачем, сама сохнет, в маске походит, туберкулез заработает и всё )))	2	0	-1	-1	-1	-1
И не респиратор нужен, а маска KN95 без клапана, вот она доказано, что защищает.	1	1	-1	-1	-1	-1
[USER], раньше не было масок, их шили из 8-ми слойной марли	1	1	-1	-1	-1	-1
Тот медперсонал, которому маски нужны, мог бы потратть 20 минут на изготовление двух-трех штук на подмену.	1	1	-1	-1	-1	-1
А россиянам начхать щас еду в метро в вагоне тока 2 человека в масках))))судя по всему тока угроза отстрела заставит нас задуматься	1	1	-1	-1	-1	-1
И за 20 лет стабильности, кроме одноразовой маски, которая до одного места!	1	1	-1	-1	-1	-1
[USER], это все и так понятно, то вот в нашем городе в Оренбурге я ещё до «карантина» пытался купить маску хоть какую нибудь, и я не смог, их просто нет в продаже!!!	-1	1	-1	1	-1	-1
Просто очередной фейк, чтобы носили маски	1	1	-1	-1	-1	-1
"[USER], и СМИ нагнетают не ради хайпа, а ради того, чтобы народ соблюдал ""технику безопасности"", потому что людей в масках сейчас в общественных местах увидеть довольно сложно."	2	2	-1	-1	-1	-1
В общественном транспорте, в микро-ТЦ, в продуктовых - очень много людей без масок, с маской на подбородке и так далее.	1	1	-1	-1	-1	-1
"Одень маску и ""пи*ди"", а потом сверху хоть клоуна нацепи, хоть зайчика, хоть морковку в опу вставь."	1	1	-1	-1	-1	-1
Хотя... видя Вашу упертость и отрицание данной болезни как таковой, смысла не вижу объяснять коэффициент полезности в ношении такого рода масок, нежели ее отсутствие, либо присутствие на подбородке для галочки - Вас все- равно не убедит до момента собственного заражения, а я только время потеряю зря.	0	1	-1	-1	-1	-1
Глазки бы открылись ой как быстро и розовые очки бы спали относительно масок, жесткости заболевания, работы медиков.	1	1	-1	-1	-1	-1
[USER], тогда для чего Вам статистика по антимасочникам и соблюдающим масочный режим, самозащиту и элементарные нормы гигиены?	2	1	-1	-1	-1	-1
Сейчас будет много смертей от ношения масок(под видом  пожилых людей.	2	1	-1	-1	-1	-1
Вот как-то так. Ждём поступления масок в аптеки.	1	1	-1	-1	-1	-1
Плюс бактерии, что бешено размножаются на маске во влажной от дыхания среде.	0	0	-1	-1	-1	-1
- вирус у него на маске, с которой он этот вирус легко может вдохнуть.	0	1	-1	-1	-1	-1
Но, чтобы сделать вид, что что-то делается, хотя бы пусть все маски носят.	2	1	-1	-1	-1	-1
Ну, моя маска 3 месяца держится, может ещё пол годика протянет	1	1	-1	-1	-1	-1
Пока я вижу не более 5 человек за день в масках вариант Испании вполне себе возможен.	1	1	-1	-1	-1	-1
Заразиться и заболеть может каждый, а уж если маску не носит, то шансы возрастают многократно.	2	2	-1	-1	-1	-1
Не представляю как врачи часы напролет в маске находятся	1	1	-1	-1	-1	-1
Если такие, как вы, так защищены масками, что ж  боитесь находиться в одних магазинах с теми, кто отказывается их носить???	0	1	-1	-1	-1	-1
А мы ездим на работу в грязном транспорте, масок и средств для обработки, при этом, в аптеках нет.	1	1	-1	-1	-1	-1
Врачи даже на скорой приезжают порой даже без масок и смеются, ставят банальное орви.	1	1	-1	-1	-1	-1
Маски для того, чтобы у кого кашель и насморк не брызгали на других и не заражали.	2	2	-1	-1	-1	-1
[USER], когда вы чихаете, значительная часть микробов останется в вашей маске.	2	2	-1	-1	-1	-1
Если всем сказали, носите маски, а люди на это забили, типа - мне не чем дышать, сначала раздайте бесплатно итп, то пусть потом не винят кого-то, в своей глупости.	0	1	-1	-1	-1	-1
Обыкновенная маска защитит окружающих, уменьшив на порядки концентрацию такого инфицирующего аэрозоля.	1	2	-1	-1	-1	-1
Дефицит масок объясняется огромным количеством спекулянтов и еще большим количеством паникеров.	1	1	-1	-1	-1	-1
я хочу работать и деньги зарабатывать и что бы семья моя была здорова , а не в больнице лежала от того что какой то там чел решил что ему душно в маске, но перед этим он общался с  просто гриппозником, который в свою очередь не дома засел, а решил что он очень прям не заменим и поперся опять же без маски на работу через весь город...	1	1	-1	-1	-1	-1
Обмотаюсь марлей, надену три маски, обольюсь антисептиком, но приду.	2	1	-1	-1	-1	-1
А то, что у нас большинство маски не носят, то это уже другой вопрос, у нас много к сожалению безответственных людей!	1	1	-1	-1	-1	-1
я был свидетелем уже несколько раз, как люди в масках ругаются с людьми без масок, типа почему они без масок!	1	1	-1	-1	-1	-1
[USER], поддерживаю... Масок нет в интернете продают по 50 р. За шруку	1	1	-1	-1	-1	-1
Всегда умиляет как люди рулятся с воплями с непускающими их охранниками, а затем достают маску из кармана и надевают ее.	1	1	-1	-1	-1	-1
Бизнес на масках можно сделать, была 7 руб, а теперь 80 руб.	1	1	-1	-1	-1	-1
[USER], я то понимаю зачем маска нужна в пик заболеваемости (я про сезонные заболевания), просто больные ходят, чихают и все-такое.	2	2	-1	-1	-1	-1
[USER], эти маски неизвестно кем и где сшиты, и вопрос- обработаны ли они бактерицидным веществом,  я только в аптеке покупаю.	1	1	-1	-1	-1	-1
В больничках лежат и кто носил маски, и кто не носил.	2	1	-1	-1	-1	-1
В Дзержинске тоже нет антисептиков  А на маски космические цены и есть они не во многих местах	1	1	-1	-1	-1	-1
В Москве , в аптеках ни масок, ни антисептиков... Спросила сегодня в аптеке, на меня, как на дуру посмотрели.	1	1	-1	-1	-1	-1
Так может в магазинах открыть окна от рекламы, чтобы поступал в помещение ультрафиолет и не надоедеть людям с масками?	1	1	-1	-1	-1	-1
В аптеках ни антисептиков, ни масок, ни парацетамола... Антибиотики по рецептам...  Словно специально готовились к пандемии...	1	1	-1	-1	-1	-1
С какого перепуга кондуктор должен воевать с людьми на почве масок?	1	1	-1	-1	-1	-1
А пока покупайте на свои деньги перчатки и шейте маски.	1	1	-1	-1	-1	-1
Цирк, кто-то там на верхушке вложился в масочный перчаточный бизнес	0	1	-1	-1	-1	-1
для детей маски не нужны -маразм крепчает	1	1	-1	-1	-1	-1
В мелкоскоп смотрела как вирусочастицы указанным количеством бьются об маску вылетая из здорового но инфицированного человека?	1	1	-1	-1	-1	-1
Маски дорогущие, кто-то бизнес делает.	1	1	-1	-1	-1	-1
Много тяжело заболевших врач говорить в среднем болезнь проходит за 90 дней, берегите себя носить маски и перчатки, многие ходят людей которые инфицированных но еще нет симптомов, если они без маски могут заражать других.	2	2	-1	-1	-1	-1
Спекулянтам рай, в интернете из всех дырок реклама продажи масок по спекулятивным ценам  и никто ничего не делает.	1	1	-1	-1	-1	-1
[USER], ну то что маска спасает от вируса, это вы сами себе нафантазировали, ребята -отрицалы.	0	1	-1	-1	-1	-1
[USER], так и вали в китай и ходи там в маске	1	1	-1	-1	-1	-1
В целом маски и перчатки зае*али, в целом я согласен с женщиной из Швеции) но  у нас немного другая ситуация в принципе.	1	1	-1	-1	-1	-1
*** Пока ты вирус распускаешь, Ты этим русских не пугаешь- Без масок ходят и толпой, Ещё смеются над тобой.	1	1	-1	-1	-1	-1
Они не помогут , зачем вы их покупаете не понятно, перчатки медицинские это да но маски бесполезные	0	1	-1	-1	-1	-1
Самое главное это то что маска вызывает кислородное голодание что отрицательно сказывпется на работе мозга.	0	1	-1	-1	-1	-1
[USER], а как вы в Питере в магазинах, в транспорте и т.п. обходитесь без маски?	1	1	-1	-1	-1	-1
Одна маска 50р - 5 мин. Работы	1	1	-1	-1	-1	-1
Все наисерьезнейшие меры уже приняты: рестораны ночью не работают (а так хотелось, прям не прожить теперь без этого), масочный режим усилили (правда, никто не понимает, как именно, хотя... теперь на парковках надо носить маску обязательно, и это огромный плюс, так как вирус летает именно в ночных ресторанах и на парковках).	2	1	-1	-1	-1	-1
не могут масками обеспечить, а хотят контролировать здоровье	2	1	-1	-1	-1	-1
Товарищи, маски нужны всем, так как никто не знает кто уже заражен.	1	1	-1	-1	-1	-1
Если совсем малой, одеть на него маску просто сложно.	1	1	-1	-1	-1	-1
Врачи (в возрасте) по вызовам приходят без бахил и маски, руки вытирают полотенцем.	1	1	-1	-1	-1	-1
[USER], вручную сшитая маска не помогает так же, как и одноразовая медицинская, которую все раскупили)	1	1	-1	-1	-1	-1
[USER], пока все не начнут ходить в масках будет только увеличиваться рост заражённых, у кого организм сильный он даже может не знать что заражён, а он без маски потом разносит инфекцию	2	1	-1	-1	-1	-1
Китай ввёл жесткие рамки для всех граждан страны, держать расстояние два метра не прикосаться друг к другу у них в очереди в магазин народ стоял по красным линиям отметкам так сказать и все стояли в масках и перчатках  Транспорт не ходил все сидели дома закон за нарушение карантина в китае издали 15 февраля победили они вирус 23 марта но там совсем мало оставалось заражённых, так сказать как у нас выздоровленых 0,5 %	-1	1	1	1	-1	-1
Шутки шутками но это не смешно будем ждать вспышки только тогда народ поймёт , а мер у нас не будет принято все дальше будут ходить без масок гулять шашлыки жарить и тд.	1	1	-1	-1	-1	-1
Врачи тоже без масок ходят, не говоря уж про перчатки!	1	1	-1	-1	-1	-1
На одних масках от 400 до 1000 профита , не говоря про импортную продукцию , которая выросла в среднем на 20 % .	1	1	-1	-1	-1	-1
[USER], говорю как было) но маску носите, поверьте  лучше это, чем дышать через аппарат)	1	1	-1	-1	-1	-1
[USER], если людям, то почему власти бесплатно не раздают маски?	1	1	-1	-1	-1	-1
На Дальнем Востоке (конкретно городНаходка) уже второй месяц нет масок!	1	1	-1	-1	-1	-1
[USER], маски нужно утилизировать, а не на свалки выбрасывать.	1	1	-1	-1	-1	-1
Не вольный вопрос: Почему про вред маски пишут - люди, а про пользу и запугивают - боты!	1	1	-1	-1	-1	-1
Если сотрудники метро(девяткино) на турникетах без перчаток и масок?	1	1	-1	-1	-1	-1
Они нужны заболевшим, чтобы не распространять вирусы на далекое расстояние при чихании и кашле; такие маски надевают хирурги во время операций, стоматологи во время работы с пациентов, врачи во время приема больных, чтобы оградить пациента и не внести какую - либо инфекцию.	2	2	-1	-1	-1	-1
Просто надо бизнес с масками и штрафами замутить, чтобы пополнить бюджет.	0	1	-1	-1	-1	-1
ГДЕ, будь они неладны, те самые антисептики, спиртовые растворы, маски?	2	1	-1	-1	-1	-1
Маски можно перетерпеть, они не напрягают так, как вакцина без нормальных испытаний.	-1	-1	-1	-1	1	0
[USER], Сразу 11 врачей-инфекционистов уволились из больницы в Каменск-Шахтинском Ростовской области  Врачи массово написали заявления об увольнении, так как больница не готова к работе в условиях угрозы пандемии коронавируса -  у медиков нет масок и других средств защиты.	1	2	-1	-1	-1	-1
И что скажут гениальные любители масок, думающие что те их как то защищают?	1	1	-1	-1	-1	-1
В том числе и одноразовые а-ля медицинская маска.	1	1	-1	-1	-1	-1
Я тоже Лежал в больнице и видел как они работаю как каторжные в своих защитных костюмах и масках.	1	1	-1	-1	-1	-1
Как то подозрительно много вокруг людей с такими заболеваниями, что маски не носят	0	1	-1	-1	-1	-1
Просто нужно людей, которые без маски, заносить в базу, после чего, если человек заболел ковидом, отказывать в лечении.	0	1	-1	-1	-1	-1
[USER], практика говорит о том, что на заболеваемость маски не влияют	1	0	-1	-1	-1	-1
[USER], фоткаться в масках тоже много мозгов не надо, тоже мне, взяли моду	1	1	-1	-1	-1	-1
И солдатам надо ехать как можно медленнее днём по городу, без спецкостюмов и масок, чтобы люди знали героев в лицо, да и куда спешить солнце ВЫСОКО, ТЕПЛО.	1	1	-1	-1	-1	-1
Умер только потому, что какой-то ковидный идиот, наслушавшись псевдоэкспертов, принципиально не носил маску и своей поганой слюной через кашель брызнул на него.	2	2	-1	-1	-1	-1
Хотя я была бы не против, если бы и гриппозники ходили в масках.	0	1	-1	-1	-1	-1
[USER], и провизорам Зашла в аптеку - маски только у провизоров	1	1	-1	-1	-1	-1
В Брянске масок и антисептик не купить в аптеке, их попросту нет в наличии!	1	1	-1	-1	-1	-1
По этому столько больных в день, в Китае сказали маски носить и все соблюдали, и у них теперь нет ковида	2	1	-1	-1	-1	-1
Простая тканевая маска нужна лишь заболевшим, и то лишь тем, у кого уже есть симптомы в виде того же кашля.	2	1	-1	-1	-1	-1
Иногда уходит 2 маски, если иду в этот день в медучреждение.	1	1	-1	-1	-1	-1
[USER], скупка масок и гречки - тоже... и что?	1	1	-1	-1	-1	-1
И именно этим нам пытаются объяснить еще и ношение перчаток))))Человек трогает грязную маску руками:то стягивает её под подбородок, то поправляет на носу, то просто надевает-снимает-из кармана  эта грязь с маски на руки и на лицо  и на окружающие  что масочники-прекрасные разносчики  да, про утилизацию  аааабсолютно никто не утилизирует маски как положено?	1	1	-1	-1	-1	-1
"[USER], а вы людей по себе не судите, у вас просто нет желания и нет терпения занимать ""здоровой профилактикой""... Проще брызгать слюной в соцсетях на то как якобы бестолковы маски и тд..."	1	1	-1	-1	-1	-1
В центре города без контрольного посвящения городок точно не нужен, это будет ещё одна точка разноса заразы, никаких масок и расстояния среди детей не будет.	1	1	-1	-1	-1	-1
А диагноз ща всем ставят макарону... Даже если с крыши упал... Ибо был без масок и перчаток	1	1	-1	-1	-1	-1
